loc_verbatim,loc_name,loc_auth,,
"31 rue Dailly, Saint Cloud & Logis du Gros Doué",31 rue Dailly,"Saint Cloud, France",,
31 Rue de Navarin,31 rue de Navarin,"Paris, France",,
31 Rue du colisée,31 rue du Colisée,"Paris, France",,
31 rue du Colusée,31 rue du Colisée,"Paris, France",,
31 Rue Lafayette,31 rue Lafayette,"Paris, France",,
31 rue Pierre Charon,31 rue Pierre Charon,"Paris, France",,
31 Rue Vernet,31 rue Vernet,"Paris, France",,
31 Rue Victor Massé,31 rue Victor Massé,"Paris, France",,
"312 avenue de Paris, Rueil","312 avenue de Paris, Rueil","[multiple locations] Paris, France; Rueil Malmaison, France",,
32 Rue Rodier,32 rue Rodier,"Paris, France",,
33 avenue de l'Opéra,33 avenue de l'Opéra,"Paris, France",,
33 Avenue de l'Opéra,33 avenue de l'Opéra,"Paris, France",,
33 Boulevard Haussmann,33 boulevard Haussmann,"Paris, France",,
"33 cité des Fleurs, Avenue de Clichy",33 cité des Fleurs avenue de Clichy,"Paris, France",,
"33 King William, London",33 King William,"London, England, UK",,
33 rue  Saint Dominique,33 rue Saint Dominique,"Paris, France",,
33 Rue de Monceau,33 rue de Monceau,"Paris, France",,
33 Rue des Dames,33 rue des Dames,"Paris, France",,
33 rue Joubert,33 rue Joubert,"Paris, France",,
33 Rue Joubert,33 rue Joubert,"Paris, France",,
34 bis avenue du Bois de Boulogne,34 bis avenue du Bois de Boulogne,"Paris, France",,
